ID,Name,Age,Gender,City,Income
1,Andrea,41,Male,Pune,60417
2,Jennifer,49,Female,Chennai,41513
3,Raven,56,Male,Pune,92325
4,Ryan,20,Female,Bangalore,59805
5,Troy,39,Female,Pune,74291
6,Kimberly,19,Male,Hyderabad,26922
7,Richard,47,Female,Hyderabad,23699
8,Jennifer,48,Female,Hyderabad,58919
9,Michelle,32,Female,Bangalore,76247
10,Luis,24,Male,Bangalore,67755
11,Steven,40,Female,Bangalore,53431
12,Misty,59,Male,Hyderabad,89164
13,Johnathan,18,Female,Hyderabad,45047
14,Christopher,59,Male,Bangalore,56830
15,Veronica,26,Female,Chennai,26993
16,Eric,29,Male,Mumbai,32560
17,James,45,Male,Chennai,39924
18,Michael,20,Male,Delhi,77648
19,Emily,22,Male,Pune,95725
20,David,33,Male,Delhi,86414
21,Amber,59,Male,Hyderabad,41738
22,Daniel,38,Male,Bangalore,26565
23,Jose,21,Female,Chennai,24645
24,Kyle,20,Female,Hyderabad,44452
25,Jennifer,50,Male,Delhi,45368
26,Mark,28,Male,Hyderabad,90419
27,Jillian,38,Male,Pune,50371
28,Bryan,41,Male,Mumbai,52484
29,Matthew,30,Male,Pune,82808
30,Joel,43,Male,Mumbai,95302
31,Angel,54,Male,Hyderabad,68196
32,Morgan,21,Female,Hyderabad,28970
33,Ashley,23,Male,Bangalore,87261
34,Kevin,32,Female,Mumbai,41712
35,Gregory,31,Male,Mumbai,54120
36,Travis,56,Female,Mumbai,32756
37,Lauren,47,Female,Hyderabad,47577
38,Wesley,19,Female,Hyderabad,45085
39,Stephanie,37,Male,Bangalore,46516
40,Andrew,43,Male,Chennai,87403
41,Elizabeth,50,Male,Mumbai,88002
42,Robert,27,Male,Delhi,29367
43,Chelsea,43,Male,Delhi,28554
44,Ashley,25,Female,Pune,40202
45,Michael,56,Male,Delhi,95634
46,Donald,35,Male,Delhi,83470
47,Timothy,21,Male,Chennai,39995
48,Bryan,31,Male,Pune,67984
49,Isabel,43,Male,Pune,41239
50,William,53,Male,Hyderabad,78040
51,Peter,33,Male,Pune,83004
52,Elizabeth,21,Female,Bangalore,21304
53,Margaret,18,Female,Hyderabad,58973
54,Haley,51,Female,Hyderabad,62051
